id,level,operation,prediction_vi,"chrf_char_order=4,word_order=0","chrf_char_order=4,word_order=2","chrf_char_order=6,word_order=0","chrf_char_order=6,word_order=2"
vi-zh-2022-test-0001,0,identity,Năm 2022 là năm có ý nghĩa quan trọng trong phục hồi và phát triển kinh tế Việt Nam sau những tác động của dịch COVID - 19.,1.0,1.0,1.0,1.0
vi-zh-2022-test-0001,1,remove_one_tone,Nam 2022 là năm có ý nghĩa quan trọng trong phục hồi và phát triển kinh tế Việt Nam sau những tác động của dịch COVID - 19.,0.9814371824164049,0.9759252808884407,0.9803385962088024,0.97647931661473
vi-zh-2022-test-0001,2,remove_tones_and_drop_one_word,Nam 2022 la nam co y nghia quan trong trong phuc hoi va phat kinh te Viet Nam sau nhung tac đong cua dich COVID - 19.,0.5193087813711356,0.4280606294507118,0.41981191664370326,0.37625021632218003
vi-zh-2022-test-0001,3,word_dropout_15pct,Năm 2022 là có ý quan trọng trong phục hồi và kinh tế Việt Nam sau những tác động của dịch COVID - 19.,0.8008360989486544,0.8103794270263766,0.7703411238922946,0.7851319609660217
vi-zh-2022-test-0001,4,word_dropout_30pct_and_swap,Năm là 2022 có quan trọng phục hồi và phát triển kinh tế Việt Nam sau những tác động COVID,0.6947515691328175,0.6685086292407076,0.6500410977888997,0.6415360245567697
vi-zh-2022-test-0001,5,word_dropout_50pct_and_punctuation_remove,năm có ý nghĩa quan trong phục phát tế Việt động dịch COVID 19,0.4779528785202598,0.45507855789370744,0.4139976921446783,0.4128261940718499
vi-zh-2022-test-0002,0,identity,Sống chung với dịch COVID-19 không chỉ là vấn đề về y tế mà còn liên quan tới cả cách thức vận hành nền kinh tế và mọi hoạt động của xã hội.,1.0,1.0,1.0,1.0
vi-zh-2022-test-0002,1,remove_one_tone,Song chung với dịch COVID-19 không chỉ là vấn đề về y tế mà còn liên quan tới cả cách thức vận hành nền kinh tế và mọi hoạt động của xã hội.,0.9835334020949433,0.9790698022284768,0.9825808939034749,0.979471321051492
vi-zh-2022-test-0002,2,remove_tones_and_drop_one_word,Song chung voi dich COVID-19 khong chi la van đe ve y te ma con lien toi ca cach thuc van hanh nen kinh te va moi hoat đong cua xa hoi.,0.4093767298990929,0.29757289179286656,0.3134663310901982,0.2535910616918891
vi-zh-2022-test-0002,3,word_dropout_15pct,Sống chung dịch COVID-19 không chỉ là vấn về y tế mà còn liên quan tới cả cách thức hành nền kinh tế mọi động của xã hội.,0.8190701607191597,0.8123144088422096,0.7727578711978689,0.7792688820189612
vi-zh-2022-test-0002,4,word_dropout_30pct_and_swap,Sống dịch chung COVID-19 không chỉ là vấn đề mà liên quan tới cách thức hành kinh tế và hoạt động của hội.,0.6723747531394957,0.6433169773218447,0.5832926069231794,0.5837741920431265
vi-zh-2022-test-0002,5,word_dropout_50pct_and_punctuation_remove,chung dịch COVID-19 vấn về mà còn quan tới vận hành nền kinh động xã hội,0.4610316143135339,0.4348771441362025,0.38590394342911677,0.38506643328317286
vi-zh-2022-test-0003,0,identity,"Để nền kinh tế phát triển ổn định, sớm phục hồi, đại biểu Lê Minh Hoan, đoàn đại biểu Quốc hội tỉnh Đồng Tháp, cho rằng cần xem xét đến tính tự chủ của nền kinh tế, có chính sách nâng cao sức chủ động, sức chống chịu, tính tự chủ của nền kinh tế.",1.0,1.0,1.0,1.0
vi-zh-2022-test-0003,1,remove_one_tone,"Đe nền kinh tế phát triển ổn định, sớm phục hồi, đại biểu Lê Minh Hoan, đoàn đại biểu Quốc hội tỉnh Đồng Tháp, cho rằng cần xem xét đến tính tự chủ của nền kinh tế, có chính sách nâng cao sức chủ động, sức chống chịu, tính tự chủ của nền kinh tế.",0.9908030340266752,0.9885350146626033,0.990313108511431,0.9887345753671881
vi-zh-2022-test-0003,2,remove_tones_and_drop_one_word,"Đe nen kinh te phat trien on đinh, som phuc hoi, đai bieu Le Minh Hoan, đoan đai bieu Quoc hoi tinh Đong Thap, cho rang can xet đen tinh tu chu cua nen kinh te, co chinh sach nang cao suc chu đong, suc chong chiu, tinh tu chu cua nen kinh te.",0.4199517130987233,0.3278673412042108,0.30492246298607556,0.26461649654641356
vi-zh-2022-test-0003,3,word_dropout_15pct,"Để nền kinh tế phát triển ổn định, sớm phục hồi, biểu Lê Minh Hoan, đại biểu Quốc hội tỉnh Tháp, cho xem xét tính tự chủ của nền kinh tế, có chính sách nâng sức chủ động, sức chịu, tính tự chủ của nền kinh tế.",0.8308660797566002,0.8356769219528064,0.7942154349699684,0.8069891713175494
vi-zh-2022-test-0003,4,word_dropout_30pct_and_swap,"nền tế kinh phát định, sớm phục hồi, đại biểu Lê Minh Hoan, đại biểu Quốc hội Đồng Tháp, cho rằng cần xem đến tự chủ của nền kinh cao chủ động, chống chịu, tính tự chủ kinh",0.6570005932410425,0.6506497134419196,0.6007726615634398,0.6100662196173557
vi-zh-2022-test-0003,5,word_dropout_50pct_and_punctuation_remove,kinh phát triển ổn phục biểu Minh Hoan đại hội tỉnh Đồng Tháp xem đến tính tự nền kinh tế có sách nâng chủ động chống chịu tự,0.4537161361293252,0.4253676158765731,0.3834681575429617,0.3797705631919731
vi-zh-2022-test-0004,0,identity,"Sớm phục hồi kinh tế, sống chung an toàn với dịch COVID - 19",1.0,1.0,1.0,1.0
