id,source_zh,reference_vi,prediction_vi,damage_level,prompt_type,model_name,backend,temperature,operation,status
vi-zh-2022-test-0001,在遭受新冠肺炎疫情不小影响的背景下，2022年对越南恢复和发展经济具有重要意义。,Năm 2022 là năm có ý nghĩa quan trọng trong phục hồi và phát triển kinh tế Việt Nam sau những tác động của dịch COVID - 19.,Năm 2022 là năm có ý nghĩa quan trọng trong phục hồi và phát triển kinh tế Việt Nam sau những tác động của dịch COVID - 19.,0,rule_based,deterministic-rule-baseline-precomputed,analysis_csv,0.0,identity,ok
vi-zh-2022-test-0001,在遭受新冠肺炎疫情不小影响的背景下，2022年对越南恢复和发展经济具有重要意义。,Năm 2022 là năm có ý nghĩa quan trọng trong phục hồi và phát triển kinh tế Việt Nam sau những tác động của dịch COVID - 19.,Nam 2022 là năm có ý nghĩa quan trọng trong phục hồi và phát triển kinh tế Việt Nam sau những tác động của dịch COVID - 19.,1,rule_based,deterministic-rule-baseline-precomputed,analysis_csv,0.0,remove_one_tone,ok
vi-zh-2022-test-0001,在遭受新冠肺炎疫情不小影响的背景下，2022年对越南恢复和发展经济具有重要意义。,Năm 2022 là năm có ý nghĩa quan trọng trong phục hồi và phát triển kinh tế Việt Nam sau những tác động của dịch COVID - 19.,Nam 2022 la nam co y nghia quan trong trong phuc hoi va phat kinh te Viet Nam sau nhung tac đong cua dich COVID - 19.,2,rule_based,deterministic-rule-baseline-precomputed,analysis_csv,0.0,remove_tones_and_drop_one_word,ok
vi-zh-2022-test-0001,在遭受新冠肺炎疫情不小影响的背景下，2022年对越南恢复和发展经济具有重要意义。,Năm 2022 là năm có ý nghĩa quan trọng trong phục hồi và phát triển kinh tế Việt Nam sau những tác động của dịch COVID - 19.,Năm 2022 là có ý quan trọng trong phục hồi và kinh tế Việt Nam sau những tác động của dịch COVID - 19.,3,rule_based,deterministic-rule-baseline-precomputed,analysis_csv,0.0,word_dropout_15pct,ok
vi-zh-2022-test-0001,在遭受新冠肺炎疫情不小影响的背景下，2022年对越南恢复和发展经济具有重要意义。,Năm 2022 là năm có ý nghĩa quan trọng trong phục hồi và phát triển kinh tế Việt Nam sau những tác động của dịch COVID - 19.,Năm là 2022 có quan trọng phục hồi và phát triển kinh tế Việt Nam sau những tác động COVID,4,rule_based,deterministic-rule-baseline-precomputed,analysis_csv,0.0,word_dropout_30pct_and_swap,ok
vi-zh-2022-test-0001,在遭受新冠肺炎疫情不小影响的背景下，2022年对越南恢复和发展经济具有重要意义。,Năm 2022 là năm có ý nghĩa quan trọng trong phục hồi và phát triển kinh tế Việt Nam sau những tác động của dịch COVID - 19.,năm có ý nghĩa quan trong phục phát tế Việt động dịch COVID 19,5,rule_based,deterministic-rule-baseline-precomputed,analysis_csv,0.0,word_dropout_50pct_and_punctuation_remove,ok
vi-zh-2022-test-0002,与新冠肺炎病毒共处不仅是医疗卫生问题，而且还涉及国家经济及社会所有活动的运作方式。,Sống chung với dịch COVID-19 không chỉ là vấn đề về y tế mà còn liên quan tới cả cách thức vận hành nền kinh tế và mọi hoạt động của xã hội.,Sống chung với dịch COVID-19 không chỉ là vấn đề về y tế mà còn liên quan tới cả cách thức vận hành nền kinh tế và mọi hoạt động của xã hội.,0,rule_based,deterministic-rule-baseline-precomputed,analysis_csv,0.0,identity,ok
vi-zh-2022-test-0002,与新冠肺炎病毒共处不仅是医疗卫生问题，而且还涉及国家经济及社会所有活动的运作方式。,Sống chung với dịch COVID-19 không chỉ là vấn đề về y tế mà còn liên quan tới cả cách thức vận hành nền kinh tế và mọi hoạt động của xã hội.,Song chung với dịch COVID-19 không chỉ là vấn đề về y tế mà còn liên quan tới cả cách thức vận hành nền kinh tế và mọi hoạt động của xã hội.,1,rule_based,deterministic-rule-baseline-precomputed,analysis_csv,0.0,remove_one_tone,ok
vi-zh-2022-test-0002,与新冠肺炎病毒共处不仅是医疗卫生问题，而且还涉及国家经济及社会所有活动的运作方式。,Sống chung với dịch COVID-19 không chỉ là vấn đề về y tế mà còn liên quan tới cả cách thức vận hành nền kinh tế và mọi hoạt động của xã hội.,Song chung voi dich COVID-19 khong chi la van đe ve y te ma con lien toi ca cach thuc van hanh nen kinh te va moi hoat đong cua xa hoi.,2,rule_based,deterministic-rule-baseline-precomputed,analysis_csv,0.0,remove_tones_and_drop_one_word,ok
vi-zh-2022-test-0002,与新冠肺炎病毒共处不仅是医疗卫生问题，而且还涉及国家经济及社会所有活动的运作方式。,Sống chung với dịch COVID-19 không chỉ là vấn đề về y tế mà còn liên quan tới cả cách thức vận hành nền kinh tế và mọi hoạt động của xã hội.,Sống chung dịch COVID-19 không chỉ là vấn về y tế mà còn liên quan tới cả cách thức hành nền kinh tế mọi động của xã hội.,3,rule_based,deterministic-rule-baseline-precomputed,analysis_csv,0.0,word_dropout_15pct,ok
